Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Career_Path
5,4,5,3,5,2,4,4,4,5,5,5,3,1,5,Artificial Intelligence
5,3,2,5,2,5,5,5,5,1,1,4,5,5,3,Cybersecurity
4,2,5,3,5,3,4,5,2,4,4,1,5,5,5,Cloud Computing
2,2,5,4,5,2,4,4,3,4,4,3,4,4,4,Data Science
5,2,3,3,4,4,5,2,5,5,4,5,5,5,4,DevOps
5,3,2,3,5,3,3,1,3,5,4,4,2,1,2,Software Development
3,1,4,2,5,5,5,4,2,5,3,3,5,3,4,Cloud Computing
5,5,2,2,3,5,4,2,4,5,2,5,5,4,2,Network and Systems Administration
2,5,5,3,1,3,4,5,2,4,5,3,3,2,2,Web Development
1,4,3,5,5,2,4,3,1,5,4,5,4,5,5,Data Science
4,4,4,1,4,3,4,5,3,5,4,5,2,2,5,Artificial Intelligence
4,1,4,3,5,5,5,3,5,4,2,3,4,5,4,DevOps
3,2,5,2,5,4,5,3,4,5,3,1,5,3,5,Cloud Computing
2,1,5,3,4,4,4,3,2,4,3,2,4,3,5,Cloud Computing
4,5,2,5,5,4,3,2,4,4,3,4,1,3,2,Software Development
4,1,5,4,4,3,5,5,3,4,2,3,4,5,5,Cloud Computing
5,5,1,4,1,5,3,3,5,3,4,5,4,4,4,Network and Systems Administration
5,3,2,3,5,4,5,4,5,5,2,4,5,4,3,DevOps
4,4,2,2,1,4,4,1,5,4,4,5,5,4,2,Network and Systems Administration
1,4,5,4,5,1,5,3,2,4,5,3,4,3,5,Data Science
5,4,3,4,2,5,3,1,5,3,2,5,5,5,3,Network and Systems Administration
4,5,4,1,4,2,5,4,4,4,4,4,4,1,5,Artificial Intelligence
2,3,4,2,4,5,5,3,3,5,4,3,5,4,4,Cloud Computing
5,4,3,3,2,3,2,2,5,3,2,4,5,5,2,Network and Systems Administration
5,2,3,5,5,4,5,3,5,5,4,3,5,3,3,DevOps
2,3,3,4,5,3,5,4,3,5,5,3,5,5,4,Data Science
5,3,2,4,2,5,4,2,5,5,4,5,4,5,4,Network and Systems Administration
1,2,3,4,5,2,5,4,3,4,5,4,5,4,4,Data Science
5,4,4,5,5,4,1,3,3,4,4,3,2,3,4,Software Development
4,2,4,5,1,4,4,4,3,1,2,2,5,5,3,Cybersecurity
3,5,2,5,2,4,4,4,5,4,5,1,4,3,4,Blockchain
5,3,2,5,5,3,5,4,4,5,2,5,5,5,2,DevOps
2,4,5,4,1,5,2,4,4,5,3,5,1,1,4,Mobile App Development
2,5,4,5,4,5,4,4,4,3,4,3,4,4,5,Blockchain
4,4,4,4,2,3,2,5,2,3,5,4,1,3,4,Web Development
4,5,5,5,3,2,4,4,1,3,5,3,1,2,2,Web Development
1,4,5,5,4,2,4,3,2,5,5,3,4,4,5,Data Science
3,4,4,4,3,4,2,4,4,5,2,5,2,2,4,Mobile App Development
3,5,5,3,1,3,4,5,1,4,4,3,1,1,4,Web Development
4,3,4,3,5,4,5,5,3,5,4,3,5,3,4,Cloud Computing
3,3,5,2,5,4,3,5,5,4,4,5,3,3,5,Artificial Intelligence
3,4,2,5,3,5,3,4,3,4,5,1,2,5,5,Blockchain
4,5,4,3,3,5,4,5,5,5,3,5,1,2,5,Mobile App Development
3,5,5,3,2,2,3,5,3,4,5,4,3,1,4,Web Development
2,3,5,3,5,4,5,4,3,5,3,1,5,4,5,Cloud Computing
2,1,5,3,4,4,4,4,3,4,4,2,5,5,4,Cloud Computing
1,5,4,4,4,4,3,5,3,2,5,3,2,4,4,Blockchain
2,4,5,5,5,3,5,4,2,3,4,4,5,4,5,Data Science
5,3,3,4,5,3,2,2,3,4,5,3,2,2,3,Software Development
5,3,1,2,2,4,4,2,4,3,3,5,5,5,2,Network and Systems Administration
1,5,3,4,3,5,5,4,4,4,5,2,3,5,5,Blockchain
1,5,3,5,2,4,5,5,4,3,5,3,4,3,5,Blockchain
3,3,4,2,4,3,4,4,4,5,4,4,3,2,4,Artificial Intelligence
3,2,5,3,5,3,5,3,3,4,4,3,4,4,5,Cloud Computing
3,3,5,1,5,2,5,5,5,5,5,5,2,2,5,Artificial Intelligence
5,3,3,5,1,5,5,5,5,1,1,3,5,4,5,Cybersecurity
4,3,4,2,4,3,4,3,4,5,3,3,5,3,4,Cloud Computing
3,5,3,5,4,4,3,5,4,3,5,1,4,5,5,Blockchain
2,1,5,4,5,5,4,3,4,5,3,1,5,5,4,Cloud Computing
1,5,4,5,2,5,3,5,3,4,5,1,4,4,4,Blockchain
4,4,4,4,1,4,4,5,3,3,3,3,5,5,4,Cybersecurity
4,5,4,4,5,2,2,2,2,4,4,4,2,1,3,Software Development
4,5,5,5,1,3,2,5,1,5,5,3,3,2,4,Web Development
3,3,4,3,4,3,5,5,2,4,2,1,5,4,4,Cloud Computing
4,5,3,3,4,2,3,3,3,5,3,3,1,1,4,Software Development
2,3,3,5,4,1,5,4,2,5,5,4,5,5,4,Data Science
3,3,5,5,5,2,4,2,1,5,5,3,5,4,5,Data Science
5,2,4,4,3,5,4,5,3,1,1,3,5,4,5,Cybersecurity
3,3,3,4,5,2,5,4,3,3,4,5,5,3,4,Data Science
1,3,5,4,5,3,5,3,2,4,5,5,5,3,5,Data Science
4,4,4,2,5,3,4,5,4,4,5,5,4,1,4,Artificial Intelligence
3,2,3,4,4,2,5,2,1,3,5,3,4,3,5,Data Science
5,3,5,2,4,3,3,5,3,5,4,5,4,2,4,Artificial Intelligence
1,4,4,5,4,3,5,2,3,4,5,5,5,5,5,Data Science
5,5,2,5,5,3,3,2,2,5,3,3,3,3,2,Software Development
4,4,3,4,2,3,2,5,1,4,5,5,1,2,2,Web Development
4,5,4,5,2,3,2,5,3,4,5,3,1,1,4,Web Development
4,3,4,2,4,3,5,3,2,4,2,3,4,5,5,Cloud Computing
4,2,4,5,5,4,5,4,5,5,3,4,4,4,3,DevOps
5,1,4,5,5,4,4,2,4,5,4,4,4,5,2,DevOps
4,3,5,2,4,5,5,4,4,5,4,3,5,3,4,Cloud Computing
5,5,3,2,3,5,3,2,4,4,3,5,4,5,2,Network and Systems Administration
1,4,4,4,4,5,3,4,4,3,5,3,2,5,4,Blockchain
5,3,4,3,1,4,4,5,3,2,1,3,5,4,4,Cybersecurity
3,3,5,4,5,2,4,4,3,5,5,4,5,3,4,Data Science
5,3,1,3,3,3,3,3,5,4,2,4,4,5,2,Network and Systems Administration
4,1,4,2,5,3,4,3,4,4,4,1,4,4,5,Cloud Computing
5,2,3,4,2,5,5,5,5,1,1,4,4,4,4,Cybersecurity
3,3,3,4,5,5,4,3,5,4,3,3,5,4,3,DevOps
1,4,2,5,4,4,3,4,5,4,5,2,3,3,5,Blockchain
4,4,5,3,2,4,2,4,3,4,5,4,1,1,2,Web Development
3,3,5,2,5,5,5,5,3,4,2,2,5,4,5,Cloud Computing
4,2,3,3,5,3,5,3,5,5,4,4,4,3,3,DevOps
4,2,4,3,1,4,4,4,3,2,3,3,4,4,5,Cybersecurity
3,3,5,2,4,3,5,4,5,5,5,5,3,1,5,Artificial Intelligence
3,1,2,4,5,3,5,4,5,4,4,3,4,4,2,DevOps
5,3,4,5,1,5,5,4,4,1,3,3,4,4,5,Cybersecurity
3,1,5,4,5,4,4,5,2,4,3,3,5,5,5,Cloud Computing
3,4,4,4,2,4,4,5,3,2,5,3,2,5,5,Blockchain
5,5,3,4,5,3,2,3,3,5,4,4,3,2,3,Software Development
2,1,5,2,5,5,5,3,3,5,4,3,5,3,5,Cloud Computing
4,4,4,3,1,5,5,5,3,3,2,4,4,4,4,Cybersecurity
5,3,3,3,5,4,2,3,2,5,3,2,2,1,4,Software Development
2,2,5,5,5,3,5,2,3,3,5,3,5,3,4,Data Science
2,5,5,4,3,5,4,4,4,4,2,5,3,1,5,Mobile App Development
2,5,3,4,3,3,4,4,2,3,5,5,3,1,2,Web Development
2,1,5,2,4,4,4,4,4,5,3,3,4,3,4,Cloud Computing
4,3,5,3,4,4,5,3,4,5,2,3,5,3,4,Cloud Computing
5,5,2,4,1,5,3,3,4,4,4,5,5,5,4,Network and Systems Administration
5,3,2,4,5,5,4,4,4,4,3,4,4,5,3,DevOps
5,2,2,4,1,4,4,4,3,2,1,3,4,5,5,Cybersecurity
2,5,3,5,2,5,4,5,5,3,5,2,4,5,5,Blockchain
5,3,2,4,3,5,5,5,4,3,1,2,5,5,4,Cybersecurity
5,4,2,5,4,2,2,3,4,5,4,4,3,2,2,Software Development
4,3,5,4,4,4,4,4,4,5,2,1,5,3,5,Cloud Computing
5,3,4,3,5,2,1,2,2,5,3,4,3,1,2,Software Development
3,4,5,4,3,3,4,4,1,3,5,3,2,1,2,Web Development
2,5,2,5,2,5,5,5,3,4,5,1,3,5,4,Blockchain
3,4,4,5,3,2,4,5,1,4,5,4,1,3,3,Web Development
5,2,4,4,1,5,5,5,3,1,1,3,5,5,3,Cybersecurity
3,3,5,4,4,2,4,3,2,3,5,3,4,4,5,Data Science
3,5,5,2,2,5,4,4,4,3,3,5,3,1,4,Mobile App Development
5,3,1,3,1,4,2,3,4,5,4,5,4,5,2,Network and Systems Administration
5,4,1,2,2,5,2,1,5,5,2,5,4,5,4,Network and Systems Administration
5,3,3,2,1,3,3,3,5,5,2,5,4,5,3,Network and Systems Administration
5,3,4,4,5,3,5,4,4,5,2,3,4,3,3,DevOps
4,4,5,3,2,4,2,5,3,5,4,3,1,2,2,Web Development
5,5,4,3,5,2,4,4,3,5,5,5,4,3,5,Artificial Intelligence
5,5,1,3,3,4,2,1,4,3,3,4,4,5,2,Network and Systems Administration
5,2,4,5,5,3,5,2,5,5,4,4,4,3,2,DevOps
3,5,5,3,5,2,4,4,4,4,5,4,3,2,5,Artificial Intelligence
5,2,2,4,5,3,5,2,5,5,4,3,5,4,3,DevOps
4,5,5,5,2,3,2,4,1,3,5,5,2,1,3,Web Development
5,3,2,4,5,4,1,2,4,5,4,3,3,3,3,Software Development
1,2,5,5,5,3,5,2,2,5,5,3,4,5,5,Data Science
4,4,2,5,1,5,5,5,5,1,1,4,5,5,3,Cybersecurity
5,4,2,3,1,5,2,1,4,5,2,4,4,4,3,Network and Systems Administration
3,3,5,3,3,4,2,3,5,5,3,5,1,2,4,Mobile App Development
5,4,3,3,1,4,3,1,5,4,4,5,5,4,4,Network and Systems Administration
3,4,4,5,3,5,4,5,3,4,5,3,3,5,5,Blockchain
4,4,4,4,2,5,4,5,4,1,1,4,5,5,5,Cybersecurity
5,3,3,4,5,3,1,3,2,4,4,3,2,2,3,Software Development
1,2,4,5,4,1,4,4,3,4,5,4,5,5,5,Data Science
2,5,4,5,4,4,5,5,5,2,5,3,4,5,5,Blockchain
4,3,2,4,3,5,5,4,3,2,3,4,4,5,3,Cybersecurity
5,5,2,4,1,3,4,3,4,5,3,5,5,5,3,Network and Systems Administration
3,5,4,5,2,4,3,5,5,4,4,3,3,5,5,Blockchain
5,3,4,5,2,5,5,5,5,1,3,2,5,5,3,Cybersecurity
5,2,3,4,3,5,5,5,5,2,3,2,4,5,3,Cybersecurity
5,5,1,2,2,3,2,1,5,3,4,5,5,5,4,Network and Systems Administration
2,2,4,4,5,3,5,5,4,5,3,2,4,5,5,Cloud Computing
5,3,2,5,4,4,4,4,4,5,3,3,5,5,4,DevOps
2,3,5,3,5,4,4,3,4,5,3,1,5,5,5,Cloud Computing
4,4,4,1,5,3,3,5,4,5,4,4,3,3,5,Artificial Intelligence
2,3,5,4,3,4,2,5,5,3,2,5,2,3,4,Mobile App Development
5,3,3,4,3,4,5,5,5,1,3,2,5,4,3,Cybersecurity
3,3,4,3,5,4,3,5,5,5,5,5,4,2,5,Artificial Intelligence
5,2,3,3,1,5,5,5,5,2,1,2,4,4,3,Cybersecurity
2,5,2,4,2,4,3,5,3,2,5,1,3,3,4,Blockchain
4,5,5,2,2,4,2,5,4,5,3,5,1,1,5,Mobile App Development
2,3,5,3,1,5,3,5,4,4,4,5,1,3,3,Mobile App Development
4,4,3,3,3,4,5,5,4,3,3,4,5,5,3,Cybersecurity
5,3,4,3,5,4,2,1,4,4,4,2,3,3,3,Software Development
4,4,3,4,5,2,1,2,3,4,3,2,3,3,4,Software Development
1,4,2,4,3,4,5,5,4,2,5,2,2,5,5,Blockchain
5,3,1,2,2,3,4,3,4,3,4,4,5,5,4,Network and Systems Administration
3,2,4,4,5,5,4,4,5,4,4,3,4,5,2,DevOps
5,5,3,4,2,3,4,3,4,5,3,5,5,4,4,Network and Systems Administration
2,4,3,5,4,5,5,5,4,2,4,2,2,5,5,Blockchain
4,3,5,3,3,5,2,5,4,3,3,5,3,2,3,Mobile App Development
5,2,2,4,5,5,4,4,5,5,2,5,5,3,3,DevOps
5,4,1,3,3,3,2,1,5,5,4,4,5,5,4,Network and Systems Administration
5,3,5,1,5,3,5,5,4,5,5,4,4,3,5,Artificial Intelligence
2,4,2,5,4,5,3,5,4,2,5,3,3,4,5,Blockchain
3,4,4,5,3,2,3,4,1,4,5,4,3,1,2,Web Development
4,4,2,3,5,3,2,3,3,5,3,4,2,1,2,Software Development
2,4,4,2,1,4,3,3,4,4,3,5,2,2,5,Mobile App Development
4,4,3,3,2,3,3,2,4,3,2,5,5,5,2,Network and Systems Administration
3,4,4,5,5,3,5,2,2,3,4,3,5,4,5,Data Science
2,4,2,5,2,4,4,5,3,4,5,2,3,5,4,Blockchain
3,3,5,4,1,5,3,4,5,5,4,5,3,3,4,Mobile App Development
2,4,5,2,2,5,4,4,5,4,4,4,3,3,3,Mobile App Development
5,3,3,3,3,4,4,4,4,2,2,4,4,5,4,Cybersecurity
2,4,5,3,1,2,3,5,3,3,4,5,1,1,3,Web Development
5,3,1,4,3,4,3,1,5,4,4,5,4,5,2,Network and Systems Administration
3,3,4,4,4,4,5,4,4,4,2,3,5,4,4,DevOps
5,3,4,4,4,5,5,3,5,5,4,5,5,5,4,DevOps
3,4,5,2,5,2,4,5,4,4,5,4,2,2,5,Artificial Intelligence
5,4,2,4,5,3,1,2,2,5,5,4,1,3,4,Software Development
5,3,4,3,5,3,4,2,4,4,3,5,4,3,3,DevOps
4,3,4,2,4,4,5,4,2,5,2,2,5,3,4,Cloud Computing
2,3,5,3,5,5,5,4,3,5,4,2,4,5,4,Cloud Computing
4,3,2,5,5,4,4,4,5,4,3,3,4,5,3,DevOps
5,2,4,3,3,5,5,4,5,2,1,2,5,5,3,Cybersecurity
3,5,5,4,2,4,3,4,5,4,2,4,3,1,4,Mobile App Development
4,3,5,2,4,4,5,5,3,5,5,5,2,2,5,Artificial Intelligence
4,3,5,2,2,5,4,5,5,4,4,5,2,2,4,Mobile App Development
5,4,4,5,4,4,3,2,3,4,5,4,3,1,2,Software Development
2,3,4,5,5,3,5,2,3,3,5,4,5,4,5,Data Science
5,4,2,4,5,3,2,3,3,4,3,2,3,2,2,Software Development
5,4,2,5,1,4,5,5,4,2,3,4,5,4,5,Cybersecurity
4,4,1,2,2,5,3,3,5,5,3,5,5,5,3,Network and Systems Administration
4,2,4,3,5,4,5,3,5,5,2,5,4,3,2,DevOps
3,1,4,4,5,4,4,3,4,4,4,1,4,4,4,Cloud Computing
2,4,5,2,1,5,2,3,5,5,4,5,2,3,4,Mobile App Development
4,1,4,3,4,3,5,4,2,4,3,3,5,4,4,Cloud Computing
5,3,3,2,2,4,4,1,5,5,2,5,5,5,2,Network and Systems Administration
5,5,4,4,4,2,2,1,3,5,5,3,3,1,2,Software Development
2,5,5,2,2,5,2,3,4,5,3,4,3,2,5,Mobile App Development
5,4,4,3,4,2,3,3,2,5,3,2,2,3,2,Software Development
3,3,3,3,5,3,4,2,5,5,3,4,4,5,2,DevOps
2,4,4,2,2,5,3,5,5,4,3,5,3,3,3,Mobile App Development
5,5,2,4,3,4,4,3,5,4,4,4,4,5,2,Network and Systems Administration
5,5,4,1,5,3,4,5,5,4,4,5,2,1,4,Artificial Intelligence
2,3,4,2,5,3,5,4,4,5,2,2,5,3,4,Cloud Computing
3,2,2,4,4,5,5,4,5,5,2,5,5,5,4,DevOps
4,4,4,3,2,5,4,4,5,4,2,4,3,3,3,Mobile App Development
1,5,2,5,2,5,3,5,5,2,4,3,3,3,5,Blockchain
4,5,4,3,5,2,5,5,3,5,5,5,3,3,4,Artificial Intelligence
3,4,5,4,4,2,5,3,2,3,4,4,5,3,5,Data Science
4,3,4,4,4,4,3,3,3,5,5,4,3,1,2,Software Development
5,4,1,4,3,5,3,2,5,3,3,4,4,5,4,Network and Systems Administration
4,5,5,3,2,4,2,5,1,4,4,3,3,1,3,Web Development
5,3,1,4,1,4,3,1,5,5,2,4,5,5,4,Network and Systems Administration
3,1,5,2,5,5,4,3,2,5,3,3,4,4,5,Cloud Computing
4,5,3,5,5,2,3,1,4,5,5,2,1,2,4,Software Development
3,3,5,2,5,3,4,5,4,5,3,2,5,4,5,Cloud Computing
3,2,3,4,5,3,4,2,3,5,4,3,4,4,5,Data Science
4,3,2,5,5,2,1,2,2,5,3,3,3,1,2,Software Development
4,4,3,3,1,5,3,3,5,3,3,5,5,5,4,Network and Systems Administration
4,2,2,3,5,5,4,2,5,4,2,5,4,5,2,DevOps
4,2,3,3,5,5,5,4,5,4,3,3,5,5,4,DevOps
1,2,5,5,5,3,5,4,1,4,5,3,5,4,5,Data Science
2,4,4,2,3,5,3,3,4,5,2,4,1,3,4,Mobile App Development
5,3,4,5,4,4,3,1,2,5,5,4,2,2,3,Software Development
4,5,5,3,1,3,3,5,3,3,4,5,1,2,3,Web Development
3,4,5,3,5,2,4,5,3,5,5,5,4,3,4,Artificial Intelligence
4,4,4,2,3,5,3,5,5,3,2,5,3,3,3,Mobile App Development
1,5,3,4,3,4,4,5,4,2,5,1,2,4,5,Blockchain
3,2,2,3,5,5,4,4,5,5,4,5,5,5,2,DevOps
2,4,5,4,3,5,2,4,4,3,3,4,1,3,3,Mobile App Development
2,4,4,4,3,2,2,5,1,4,4,5,1,1,3,Web Development
3,3,4,5,5,1,4,3,1,4,5,5,5,4,5,Data Science
4,5,4,3,3,3,2,4,1,3,5,5,2,2,3,Web Development
2,1,4,4,4,3,5,5,2,5,3,2,5,5,4,Cloud Computing
4,4,2,4,4,2,3,3,2,4,5,4,3,2,2,Software Development
5,5,4,3,5,3,2,1,3,5,4,3,1,1,4,Software Development
4,5,2,3,3,4,2,2,5,5,2,5,5,5,4,Network and Systems Administration
3,4,4,3,3,2,2,4,1,5,5,4,3,3,3,Web Development
4,4,2,4,2,5,3,2,5,3,3,4,4,5,4,Network and Systems Administration
